Label (Grouping),"Anchorage, AK Metro Area!!Estimate","Anchorage, AK Metro Area!!Margin of Error","Colorado Springs, CO Metro Area!!Estimate","Colorado Springs, CO Metro Area!!Margin of Error","Houston-Pasadena-The Woodlands, TX Metro Area!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Margin of Error","Kansas City, MO-KS Metro Area!!Estimate","Kansas City, MO-KS Metro Area!!Margin of Error","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Margin of Error","New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","Omaha, NE-IA Metro Area!!Estimate","Omaha, NE-IA Metro Area!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Margin of Error","Tucson, AZ Metro Area!!Estimate","Tucson, AZ Metro Area!!Margin of Error","Tulsa, OK Metro Area!!Estimate","Tulsa, OK Metro Area!!Margin of Error"
        No telephone service available,"1,343",±667,"1,683",±636,"27,615","±4,072","5,793","±1,476","45,279","±4,589","74,802","±6,286","3,282",±957,"10,711","±2,174","3,837","±1,179","3,871",±898
OCCUPANTS PER ROOM,,,,,,,,,,,,,,,,,,,,
    Occupied housing units,"148,995","±3,367","311,530","±3,322","2,731,843","±8,601","906,504","±4,974","4,542,998","±10,740","7,490,498","±17,819","397,769","±3,139","1,073,662","±8,238","445,471","±3,708","411,320","±2,226"
        1.00 or less,"142,321","±3,388","305,347","±3,484","2,584,506","±11,427","886,642","±5,392","4,077,434","±14,565","6,996,707","±23,382","387,304","±3,249","1,036,222","±9,519","430,209","±4,352","396,663","±2,531"
        1.01 to 1.50,"3,837","±1,154","4,522","±1,434","87,616","±6,074","14,070","±2,342","272,209","±9,247","277,740","±10,992","6,547","±1,473","25,842","±3,373","7,506","±1,688","9,788","±1,332"
        1.51 or more,"2,837","±1,141","1,661",±698,"59,721","±5,976","5,792","±1,419","193,355","±8,305","216,051","±9,735","3,918","±1,227","11,598","±2,355","7,756","±1,865","4,869",±966
VALUE,,,,,,,,,,,,,,,,,,,,
    Owner-occupied units,"99,752","±3,433","209,563","±4,239","1,677,691","±13,996","599,608","±6,650","2,189,902","±16,242","3,825,885","±23,604","263,098","±3,908","670,080","±9,195","292,307","±5,350","265,474","±3,733"
"        Less than $50,000","4,301",±984,"6,503","±1,647","70,817","±4,910","31,829","±3,390","43,059","±2,918","94,109","±6,104","9,900","±1,547","31,331","±3,639","18,718","±2,126","18,769","±1,477"
"        $50,000 to $99,999","1,797",±743,"2,184",±647,"56,945","±4,653","33,782","±2,527","38,216","±3,396","58,148","±4,660","8,794","±1,456","18,701","±3,039","8,807","±1,522","23,096","±1,688"
"        $100,000 to $149,999","3,703","±1,086","1,926",±893,"86,302","±5,812","47,172","±3,960","25,329","±2,892","54,998","±4,692","20,539","±2,083","19,479","±2,595","11,460","±1,837","29,294","±1,840"
"        $150,000 to $199,999","4,023","±1,280","2,624",±891,"148,330","±6,962","63,278","±3,767","16,886","±1,949","62,793","±4,114","33,660","±2,402","28,305","±3,801","18,513","±2,658","38,769","±2,225"
"        $200,000 to $299,999","17,282","±1,865","15,302","±1,968","447,208","±9,592","138,887","±5,749","29,695","±3,208","214,194","±8,091","75,074","±3,635","110,812","±5,741","61,610","±3,673","71,354","±3,112"
"        $300,000 to $499,999","43,136","±3,274","90,904","±3,917","553,212","±11,682","188,289","±5,063","161,903","±6,374","899,124","±14,426","83,158","±3,360","277,451","±9,299","115,425","±4,738","58,897","±2,676"
"        $500,000 to $999,999","23,055","±2,548","79,611","±4,135","253,900","±8,412","83,676","±4,127","1,077,261","±15,845","1,823,877","±21,164","27,575","±2,238","156,372","±5,837","50,562","±3,230","21,070","±1,448"
"        $1,000,000 or more","2,455",±938,"10,509","±1,523","60,977","±4,042","12,695","±1,629","797,553","±12,516","618,642","±11,706","4,398","±1,083","27,629","±3,139","7,212","±1,141","4,225",±650
        Median (dollars),"371,600","±8,255","472,600","±6,140","308,200","±2,956","289,200","±3,561","867,200","±4,333","610,200","±2,813","278,300","±4,155","383,100","±4,313","337,800","±5,172","230,200","±3,166"
MORTGAGE STATUS,,,,,,,,,,,,,,,,,,,,
    Owner-occupied units,"99,752","±3,433","209,563","±4,239","1,677,691","±13,996","599,608","±6,650","2,189,902","±16,242","3,825,885","±23,604","263,098","±3,908","670,080","±9,195","292,307","±5,350","265,474","±3,733"
        Housing units with a mortgage,"65,295","±3,529","148,100","±4,614","985,706","±13,140","381,393","±5,982","1,486,465","±16,089","2,333,416","±21,843","174,488","±4,347","424,485","±8,828","171,433","±5,330","150,842","±3,918"
        Housing units without a mortgage,"34,457","±2,476","61,463","±3,715","691,985","±12,824","218,215","±5,315","703,437","±11,396","1,492,469","±20,157","88,610","±3,190","245,595","±7,862","120,874","±5,239","114,632","±3,276"
SELECTED MONTHLY OWNER COSTS (SMOC),,,,,,,,,,,,,,,,,,,,
    Housing units with a mortgage,"65,295","±3,529","148,100","±4,614","985,706","±13,140","381,393","±5,982","1,486,465","±16,089","2,333,416","±21,843","174,488","±4,347","424,485","±8,828","171,433","±5,330","150,842","±3,918"
        Less than $500,264,±221,774,±620,"6,762","±1,524","2,322",±842,"10,448","±1,538","13,151","±1,851","1,084",±624,"3,127","±1,101","1,520",±596,"1,296",±467
        $500 to $999,"2,595",±736,"6,131","±1,210","39,217","±4,180","34,697","±2,765","20,593","±2,371","48,257","±4,042","9,720","±1,411","29,014","±3,568","23,354","±2,518","19,748","±1,612"
